Listening for transport dt_socket at address: 5008
Starting daemon of retina...
2026-01-17 08:55:07,016 [io.pixelsdb.pixels.daemon.Daemon]-[INFO] starting daemon thread...
2026-01-17 08:55:08,021 [io.pixelsdb.pixels.common.utils.EtcdUtil]-[INFO] Using etcd host: realtime-pixels-coordinator
2026-01-17 08:55:08,362 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker on realtime-pixels-retina is initialized
2026-01-17 08:55:08,363 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Starting heartbeat worker
2026-01-17 08:55:08,363 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker is running
2026-01-17 08:55:08,588 [io.pixelsdb.pixels.daemon.retina.RetinaServer]-[INFO] Metadata server is ready
2026-01-17 08:55:08,603 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] Pre-loading checkpoints...
2026-01-17 08:55:08,605 [io.pixelsdb.pixels.common.physical.StorageFactory]-[WARN] no storage provider exists for scheme: httpstream
2026-01-17 08:55:08,608 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640108603 CPU_Usage[Process: 0.0000%, System: 50.0000%] Retina_Mem[Allocated: 0.0864 GiB (92796176 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.1092 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:12,605 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640112603 CPU_Usage[Process: 350.7091%, System: 22.0016%] Retina_Mem[Allocated: 0.2779 GiB (298390464 Bytes), Tracked: 79863896 Bytes, Objects: 117909, Pure_Tracked: 78920624 Bytes] JVM_Heap[Used: 0.4868 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:16,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640116603 CPU_Usage[Process: 135.6740%, System: 8.5907%] Retina_Mem[Allocated: 0.4512 GiB (484523200 Bytes), Tracked: 224317912 Bytes, Objects: 331117, Pure_Tracked: 221668976 Bytes] JVM_Heap[Used: 0.8975 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:20,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640120603 CPU_Usage[Process: 132.7270%, System: 8.4523%] Retina_Mem[Allocated: 0.8863 GiB (951710920 Bytes), Tracked: 604512784 Bytes, Objects: 891214, Pure_Tracked: 597383072 Bytes] JVM_Heap[Used: 0.9714 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:24,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640124603 CPU_Usage[Process: 144.2685%, System: 9.1265%] Retina_Mem[Allocated: 1.3670 GiB (1467779800 Bytes), Tracked: 1003879552 Bytes, Objects: 1479504, Pure_Tracked: 992043520 Bytes] JVM_Heap[Used: 0.8475 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:28,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640128603 CPU_Usage[Process: 38.9447%, System: 2.3398%] Retina_Mem[Allocated: 1.5598 GiB (1674867352 Bytes), Tracked: 1262721560 Bytes, Objects: 1861029, Pure_Tracked: 1247833328 Bytes] JVM_Heap[Used: 0.9788 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:32,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640132603 CPU_Usage[Process: 47.4353%, System: 3.0118%] Retina_Mem[Allocated: 1.7763 GiB (1907247416 Bytes), Tracked: 1457532096 Bytes, Objects: 2148392, Pure_Tracked: 1440344960 Bytes] JVM_Heap[Used: 1.1875 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:34,997 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] Retina service is ready
2026-01-17 08:55:36,605 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640136603 CPU_Usage[Process: 39.5804%, System: 2.5207%] Retina_Mem[Allocated: 1.9169 GiB (2058205592 Bytes), Tracked: 1571890392 Bytes, Objects: 2317057, Pure_Tracked: 1553353936 Bytes] JVM_Heap[Used: 1.4490 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:40,605 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640140603 CPU_Usage[Process: 0.7502%, System: 0.0313%] Retina_Mem[Allocated: 1.8984 GiB (2038338048 Bytes), Tracked: 1571890392 Bytes, Objects: 2317057, Pure_Tracked: 1553353936 Bytes] JVM_Heap[Used: 1.4552 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:44,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640144603 CPU_Usage[Process: 0.2501%, System: 0.0156%] Retina_Mem[Allocated: 1.8977 GiB (2037603328 Bytes), Tracked: 1571890392 Bytes, Objects: 2317057, Pure_Tracked: 1553353936 Bytes] JVM_Heap[Used: 1.4762 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:48,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640148603 CPU_Usage[Process: 0.5000%, System: 0.0469%] Retina_Mem[Allocated: 1.8982 GiB (2038196704 Bytes), Tracked: 1571890392 Bytes, Objects: 2317057, Pure_Tracked: 1553353936 Bytes] JVM_Heap[Used: 1.4785 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
2026-01-17 08:55:52,604 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1768640152603 CPU_Usage[Process: 0.0000%, System: 0.0000%] Retina_Mem[Allocated: 1.8973 GiB (2037160464 Bytes), Tracked: 1571890392 Bytes, Objects: 2317057, Pure_Tracked: 1553353936 Bytes] JVM_Heap[Used: 1.4785 GiB, Committed: 10.0000 GiB, Max: 60.0000 GiB]
