Listening for transport dt_socket at address: 5008
Starting daemon of retina...
2026-01-25 16:16:53,496 [io.pixelsdb.pixels.daemon.Daemon]-[INFO] starting daemon thread...
2026-01-25 16:16:54,501 [io.pixelsdb.pixels.common.utils.EtcdUtil]-[INFO] Using etcd host: realtime-pixels-coordinator
2026-01-25 16:16:54,863 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker on realtime-pixels-retina is initialized
2026-01-25 16:16:54,863 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Starting heartbeat worker
2026-01-25 16:16:54,864 [io.pixelsdb.pixels.daemon.heartbeat.HeartbeatWorker]-[INFO] Heartbeat worker is running
2026-01-25 16:16:55,089 [io.pixelsdb.pixels.daemon.retina.RetinaServer]-[INFO] Metadata server is ready
2026-01-25 16:16:55,106 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] Pre-loading checkpoints...
2026-01-25 16:16:55,108 [io.pixelsdb.pixels.common.physical.StorageFactory]-[WARN] no storage provider exists for scheme: httpstream
2026-01-25 16:16:55,109 [io.pixelsdb.pixels.retina.RetinaResourceManager]-[INFO] Loading system state from GC checkpoint: 1260752060
2026-01-25 16:16:55,111 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357815106 CPU_Usage[Process: 0.0000%, System: 100.0000%] Retina_Mem[Allocated: 0.1013 GiB (108737640 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.0841 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:16:59,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357819105 CPU_Usage[Process: 106.6500%, System: 6.6343%] Retina_Mem[Allocated: 0.0654 GiB (70193624 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.1718 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:03,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357823105 CPU_Usage[Process: 100.0313%, System: 6.2676%] Retina_Mem[Allocated: 0.0656 GiB (70453376 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.2580 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:07,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357827105 CPU_Usage[Process: 100.2500%, System: 6.2812%] Retina_Mem[Allocated: 0.0660 GiB (70915664 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.3439 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:11,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357831105 CPU_Usage[Process: 100.5629%, System: 6.2529%] Retina_Mem[Allocated: 0.0654 GiB (70250384 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.4300 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:15,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357835105 CPU_Usage[Process: 109.0000%, System: 6.8448%] Retina_Mem[Allocated: 0.0663 GiB (71144040 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.4673 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:19,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357839105 CPU_Usage[Process: 100.5314%, System: 6.2832%] Retina_Mem[Allocated: 0.0656 GiB (70459632 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.5527 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:23,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357843105 CPU_Usage[Process: 100.5157%, System: 6.2979%] Retina_Mem[Allocated: 0.0667 GiB (71596296 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.6393 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:27,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357847105 CPU_Usage[Process: 100.2500%, System: 6.2969%] Retina_Mem[Allocated: 0.0665 GiB (71427480 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.7323 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:31,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357851105 CPU_Usage[Process: 100.2813%, System: 6.2832%] Retina_Mem[Allocated: 0.0654 GiB (70228240 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.8186 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:35,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357855105 CPU_Usage[Process: 109.5171%, System: 6.8604%] Retina_Mem[Allocated: 0.0670 GiB (71939840 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.8881 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:39,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357859105 CPU_Usage[Process: 100.2813%, System: 6.2666%] Retina_Mem[Allocated: 0.0656 GiB (70457088 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 0.9758 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:43,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357863105 CPU_Usage[Process: 100.0000%, System: 6.2666%] Retina_Mem[Allocated: 0.0661 GiB (70933248 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.0619 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:47,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357867105 CPU_Usage[Process: 100.5314%, System: 6.2676%] Retina_Mem[Allocated: 0.0661 GiB (70939544 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.1477 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:51,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357871105 CPU_Usage[Process: 100.0313%, System: 6.2676%] Retina_Mem[Allocated: 0.0651 GiB (69943440 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.2337 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:55,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357875105 CPU_Usage[Process: 107.8005%, System: 6.8928%] Retina_Mem[Allocated: 0.0666 GiB (71535352 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.3471 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:17:59,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357879105 CPU_Usage[Process: 100.7500%, System: 6.2979%] Retina_Mem[Allocated: 0.0707 GiB (75882280 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.4400 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:03,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357883105 CPU_Usage[Process: 100.2813%, System: 6.2676%] Retina_Mem[Allocated: 0.0710 GiB (76214280 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.5259 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:07,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357887105 CPU_Usage[Process: 100.5314%, System: 6.2676%] Retina_Mem[Allocated: 0.0706 GiB (75851896 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.6119 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:11,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357891105 CPU_Usage[Process: 100.2813%, System: 6.2666%] Retina_Mem[Allocated: 0.0703 GiB (75497336 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.6978 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:15,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357895105 CPU_Usage[Process: 107.0000%, System: 6.7354%] Retina_Mem[Allocated: 0.0708 GiB (76060088 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.8224 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:19,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357899105 CPU_Usage[Process: 100.2657%, System: 6.2812%] Retina_Mem[Allocated: 0.0703 GiB (75536824 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.9063 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
2026-01-25 16:18:23,107 [io.pixelsdb.pixels.daemon.retina.RetinaServerImpl]-[INFO] [Retina Metrics] Timestamp=1769357903105 CPU_Usage[Process: 100.2657%, System: 6.2832%] Retina_Mem[Allocated: 0.0708 GiB (76033112 Bytes), Tracked: 0 Bytes, Objects: 0, Pure_Tracked: 0 Bytes] JVM_Heap[Used: 1.9922 GiB, Committed: 10.0000 GiB, Max: 30.0000 GiB]
